0.05_1,0.05_2,0.05_3,0.05_4,0.05_5,neg_0.05_1,neg_0.05_2,neg_0.05_3,0_1,0_2,0_3,0_4
1.030325033,0.551239488,0.757637674,0.738886738,0.764104408,0.399394746,0.238625312,0.736409434,0.032031717,0.119193828,0.283665973,0.461102617
1.04026662,0.563112985,0.767244165,0.74562845,0.77995737,0.424926446,0.25597552,0.750425355,0.032644191,0.122424836,0.291384657,0.473398639
1.050066528,0.575199984,0.776477699,0.752517306,0.795706142,0.450788197,0.273839719,0.764482999,0.033259724,0.125811241,0.299079644,0.486275829
1.059611089,0.587458478,0.785340607,0.759583192,0.811290793,0.476918613,0.292225558,0.7786052,0.033866556,0.129323925,0.306607847,0.499828457
1.068778784,0.599841385,0.793849154,0.766823278,0.826612574,0.503235738,0.311132903,0.79278829,0.034464943,0.132925045,0.313924575,0.51421267
1.077516417,0.612323902,0.802028795,0.774214652,0.841584404,0.529650091,0.330531628,0.806991657,0.035063609,0.136583975,0.321137386,0.529668961
1.08578174,0.62482822,0.809928082,0.781748307,0.856220611,0.556072979,0.350377477,0.821180623,0.035656907,0.140293718,0.32838123,0.546317415
1.093579011,0.637236313,0.817544572,0.789384959,0.870735028,0.582425189,0.370610452,0.83535306,0.036237473,0.144062479,0.335773215,0.564131881
1.100931701,0.649452428,0.824789908,0.797095701,0.885351787,0.608662624,0.391156125,0.849515958,0.036814167,0.14787744,0.343404955,0.583011139
1.107832824,0.661378629,0.831611811,0.804905849,0.900158603,0.634692002,0.411932597,0.863679817,0.037393108,0.151694283,0.351303334,0.602787995
1.114287742,0.67297461,0.838053878,0.812874512,0.915150824,0.660344292,0.432857937,0.877847838,0.037980036,0.155461823,0.359448099,0.623370153
1.120303236,0.684330237,0.844219076,0.821041891,0.930247799,0.685479826,0.453840664,0.891995166,0.038592965,0.159144974,0.367824668,0.644789025
1.12586388,0.695615557,0.850253377,0.829410717,0.945376387,0.7100091,0.474769734,0.906057674,0.03925176,0.162740225,0.376456934,0.667160122
1.130957394,0.707039591,0.856286104,0.837974149,0.960484966,0.733880856,0.495537839,0.919949139,0.039964714,0.166272628,0.385378234,0.69058771
1.135582677,0.71880211,0.862349728,0.846723325,0.975511561,0.757078968,0.516048808,0.933500283,0.040731497,0.169769327,0.394591428,0.715139065
1.139749565,0.73097756,0.868422648,0.855652793,0.990417408,0.779593418,0.53621008,0.959546653,0.041545693,0.1732271,0.404157327,0.74086293
1.14347753,0.743596666,0.874581093,0.864726295,1.005176042,0.801393031,0.555947618,0.971940685,0.04239095,0.176635701,0.414199815,0.767754337
1.146802838,0.756713339,0.880869209,0.873876073,1.019663693,0.822433426,0.575199329,0.983713533,0.043248275,0.18000509,0.42480055,0.795690508
1.149803902,0.770351856,0.886998004,0.88308948,1.033697754,0.842641354,0.593896937,0.99490642,0.044104195,0.183340341,0.436019459,0.824498842
1.152560923,0.784523001,0.892922621,0.892372228,1.047091945,0.861969879,0.61197968,1.00552961,0.044959344,0.186620927,0.447953507,0.854090732
1.155116248,0.79919003,0.899050439,0.901661715,1.059649473,0.880437127,0.62941171,1.015619362,0.045838804,0.189869664,0.460736981,0.884425422
1.157499735,0.81427135,0.905642873,0.910907836,1.071209326,0.898077935,0.646175961,1.025236311,0.046775584,0.193157771,0.474491404,0.915442767
1.159778511,0.82967914,0.912704034,0.920126484,1.08162567,0.914925602,0.66226633,1.034434114,0.047783882,0.196528245,0.489275399,0.946993003
1.162047767,0.845359525,0.919983127,0.929290144,1.090753469,0.931020252,0.677682999,1.043256737,0.048849744,0.200010494,0.505126989,0.978927928
1.164361419,0.861314388,0.927130612,0.938297733,1.098506436,0.946431847,0.692422102,1.051755537,0.049943657,0.203621089,0.522085447,1.011087685
1.166755467,0.877520269,0.934300556,0.947082388,1.104838032,0.961178011,0.706482119,1.059973474,0.051036442,0.207354058,0.540152858,1.043293467
1.169278568,0.893901614,0.941894838,0.95567285,1.109711704,0.975187169,0.719873295,1.067947344,0.052108237,0.211195553,0.559277099,1.075397307
1.171986401,0.910354923,0.949992155,0.96410646,1.113127724,0.988368905,0.732610519,1.075657342,0.053158868,0.215122532,0.579483444,1.107238924
1.174956002,0.926768439,0.958564052,0.972368397,1.115140179,1.000665793,0.744704846,1.083143321,0.054214841,0.219118202,0.60096855,1.138676934
1.178269624,0.943047764,0.967588345,0.981002994,1.115841766,1.012090925,0.756176573,1.090571142,0.055319688,0.223180212,0.623889107,1.169615463
1.182054264,0.959162417,0.97704282,0.992154983,1.115360678,1.02270546,0.767052698,1.098070016,0.056508507,0.22729346,0.648272811,1.19999772
1.18634386,0.975110784,0.986912255,1.006394396,1.113867083,1.032571447,0.777353868,1.10566298,0.057806775,0.231404686,0.674115104,1.229674886
1.191028622,0.990803897,0.997167575,1.021549543,1.111598102,1.041740653,0.787098564,1.113329502,0.059229764,0.235433856,0.701346039,1.258457763
1.196002888,1.006128652,1.007736513,1.035707801,1.108906839,1.050274902,0.796314155,1.121061087,0.060751382,0.239307507,0.729862009,1.2862122
1.201180552,1.021032708,1.018533832,1.047644331,1.106176142,1.058257748,0.805033448,1.128862622,0.062291996,0.2429938,0.759601502,1.312873533
1.206469905,1.035442262,1.029451253,1.056668286,1.103772496,1.065773556,0.813287221,1.136762398,0.063780147,0.246520532,0.790532936,1.338490469
1.211789876,1.049118347,1.040325049,1.062493844,1.10208925,1.072882313,0.821115485,1.14477756,0.065206767,0.249948924,0.822620766,1.363068473
1.2171123,1.061480376,1.050888342,1.065167089,1.101494097,1.079627617,0.828555147,1.152874808,0.066600808,0.253349065,0.855784433,1.386524178
1.222421878,1.072375354,1.060738551,1.065009944,1.102280723,1.086024221,0.835617022,1.160991999,0.068006487,0.256758283,0.889908664,1.408858684
1.227682826,1.082352059,1.069449824,1.062507833,1.104654973,1.092061216,0.842299516,1.169050323,0.069471281,0.260176572,0.924868062,1.43014219
1.232875961,1.091899156,1.077105978,1.058236088,1.108742667,1.097727113,0.848614905,1.176939223,0.071031254,0.263603236,0.960556828,1.450454965
1.237974634,1.10130354,1.084100117,1.052814491,1.114596147,1.103002814,0.854574083,1.184489059,0.072728762,0.267024201,0.996898847,1.469816827
1.242907056,1.110711177,1.090606985,1.046893631,1.122079684,1.107847163,0.860178328,1.191528113,0.074626455,0.270428095,1.033754367,1.488164591
1.24759619,1.120150252,1.09674041,1.041072867,1.130715022,1.112250881,0.865438493,1.197950852,0.076789439,0.273838436,1.070849442,1.505524477
1.252001397,1.129524789,1.102587292,1.035823813,1.139587561,1.116250622,0.870391321,1.203689408,0.079265953,0.277302885,1.107901463,1.522051541
1.256119784,1.138716469,1.108153872,1.031530557,1.147306678,1.119917779,0.875089159,1.208725572,0.082080865,0.28083474,1.14473568,1.537890986
1.259942149,1.147621469,1.113399733,1.028446246,1.152458058,1.123337146,0.87958379,1.213055566,0.085248173,0.284429489,1.181230764,1.553133192
1.263463763,1.156126413,1.118297482,1.026701429,1.15550934,1.126552794,0.883920289,1.216655032,0.088778786,0.288109456,1.217272984,1.567729724
1.266740038,1.164120324,1.122821213,1.026394048,1.157901606,1.129532488,0.888098989,1.219518744,0.092672596,0.291877175,1.252692762,1.581543963
1.269820803,1.171478855,1.126925762,1.027591317,1.160031844,1.132284333,0.892092438,1.221651542,0.096905995,0.295688515,1.287285544,1.594483447
1.272681939,1.178058605,1.130600017,1.030313972,1.161954469,1.134926683,0.895887082,1.222179018,0.101439523,0.299510399,1.320921998,1.606485193
1.275268254,1.183753287,1.133889465,1.034534274,1.163727074,1.137571012,0.899473123,1.223959074,0.106225195,0.303360079,1.353550207,1.617571025
1.277476713,1.188517466,1.136867539,1.04015961,1.165401405,1.140230642,0.902852578,1.225907652,0.111203562,0.307269325,1.385111695,1.627839837
1.279198606,1.192304646,1.139670575,1.047085881,1.166994884,1.142842363,0.906042872,1.225172243,0.116320193,0.311249269,1.415513292,1.637348792
1.280414299,1.195084445,1.142404488,1.055236236,1.168491988,1.145358906,0.909071632,1.223808079,0.121523016,0.315302889,1.444705044,1.646169521
1.281147372,1.196880543,1.145109636,1.064504138,1.169908514,1.147780721,0.911960568,1.221966949,0.126767576,0.319439635,1.472584844,1.654362756
1.281443317,1.197770712,1.147807372,1.074745028,1.171273028,1.15015619,0.914719524,1.219739956,0.132046466,0.32365878,1.499005272,1.661955003
1.28140503,1.197904715,1.150439013,1.085816648,1.172597814,1.152534943,0.917346411,1.217130276,0.137370007,0.327968471,1.523954458,1.66906936
